,individual,loss
15,OSBS_contrib5444,0.49114472
25,OSBS_contrib1847,0.49473172
26,OSBS_contrib1853,0.6282295
29,OSBS_contrib5433,0.48900303
37,OSBS_contrib1851,0.508029
39,OSBS_contrib5418,0.5152478
40,OSBS_contrib5422,0.7607767
41,OSBS_contrib5425,0.8834657
42,OSBS_contrib5429,0.9092425
43,OSBS_contrib5434,0.9553353
46,OSBS_contrib5438,0.49078646
47,OSBS_contrib5439,0.49078646
48,OSBS_contrib5443,0.98775345
49,OSBS_contrib5445,0.56351817
50,OSBS_contrib5446,0.9746635
55,OSBS_contrib1898,0.4923295
60,OSBS_contrib1897,0.5198136
61,OSBS_contrib1885,0.7094661
12,OSBS_contrib1908,0.51219976
14,OSBS_contrib1901,0.6197998
16,OSBS_contrib5457,0.64120007
19,OSBS_contrib5463,0.7876116
20,OSBS_contrib5465,0.5845154
22,OSBS_contrib1920,0.5154198
33,OSBS_contrib1922,0.5156001
38,OSBS_contrib5509,0.9733621
50,OSBS_contrib1939,0.53207546
51,OSBS_contrib1944,0.50034475
52,OSBS_contrib1945,0.55526406
53,OSBS_contrib5185,0.4889876
54,OSBS_contrib5481,0.91142255
55,OSBS_contrib5488,0.64966315
56,OSBS_contrib5490,0.6227324
63,OSBS_contrib1956,0.49369335
9,OSBS_contrib5519,0.54180264
12,OSBS_contrib1964,0.48962158
15,OSBS_contrib1963,0.7724698
17,OSBS_contrib5515,0.9781072
19,OSBS_contrib5520,0.873403
25,OSBS_contrib5537,0.7849152
32,OSBS_contrib5533,0.5987888
33,OSBS_contrib5534,0.59879637
43,OSBS_contrib5582,0.48877555
49,OSBS_contrib5562,0.60111034
50,OSBS_contrib1974,0.5957391
51,OSBS_contrib1975,0.50280046
52,OSBS_contrib1978,0.6565399
55,OSBS_contrib5530,0.51524705
57,OSBS_contrib5536,0.48991123
59,OSBS_contrib5549,0.92673856
62,OSBS_contrib5556,0.9767293
63,OSBS_contrib5560,0.71289086
0,OSBS_contrib5565,0.7948764
2,OSBS_contrib5568,0.49516454
7,OSBS_contrib5583,0.5768806
13,OSBS_contrib2020,0.6192421
17,OSBS_contrib5602,0.540263
18,OSBS_contrib5598,0.48824695
19,OSBS_contrib5599,0.48824695
20,OSBS_contrib5596,0.50901836
22,OSBS_contrib2010,0.5130351
23,OSBS_contrib2012,0.8591036
24,OSBS_contrib2021,0.60231054
25,OSBS_contrib5595,0.6095557
26,OSBS_contrib5600,0.69819367
27,OSBS_contrib5601,0.66112953
29,OSBS_contrib2042,0.5050041
30,OSBS_contrib2051,0.5136878
34,OSBS_contrib2045,0.60268366
35,OSBS_contrib2049,0.5409316
36,OSBS_contrib2063,0.49642932
40,OSBS_contrib2044,0.6168795
41,OSBS_contrib5584,0.919611
42,OSBS_contrib5585,0.919611
45,OSBS_contrib2057,0.5964614
51,OSBS_contrib2053,0.79478353
53,OSBS_contrib7523,0.6779546
14,OSBS_contrib5613,0.50275517
17,OSBS_contrib2093,0.8030246
19,OSBS_contrib2091,0.49650273
41,OSBS_contrib2213,0.52931803
49,OSBS_contrib2199,0.5392409
51,OSBS_contrib2209,0.5023576
57,OSBS_contrib5676,0.70642066
58,OSBS_contrib5677,0.70642066
62,OSBS_contrib2194,0.66710806
63,OSBS_contrib5644,0.4907253
0,OSBS_contrib5652,0.6266082
1,OSBS_contrib5653,0.5916902
5,OSBS_contrib5675,0.7043595
6,OSBS_contrib5678,0.68792176
25,OSBS_contrib5685,0.49484923
32,OSBS_contrib2228,0.78827566
42,OSBS_contrib2242,0.49936616
49,OSBS_contrib5741,0.48900485
59,OSBS_contrib5770,0.49918476
2,OSBS_contrib2255,0.5680777
3,OSBS_contrib5709,0.9839423
4,OSBS_contrib5712,0.88582504
5,OSBS_contrib5722,0.94865173
6,OSBS_contrib5723,0.94865173
8,OSBS_contrib5753,0.5116036
9,OSBS_contrib5756,0.8817695
10,OSBS_contrib5757,0.8817695
11,OSBS_contrib5760,0.92223686
16,OSBS_contrib5784,0.8287917
17,OSBS_contrib5787,0.66642535
18,OSBS_contrib5788,0.66642535
20,OSBS_contrib2287,0.54825646
22,OSBS_contrib2297,0.5208364
29,OSBS_contrib2298,0.4892717
44,OSBS_contrib2307,0.5437645
48,OSBS_contrib2285,0.60626847
49,OSBS_contrib2288,0.88156176
50,OSBS_contrib2305,0.7378764
51,OSBS_contrib2805,0.51363415
54,OSBS_contrib5815,0.51323766
55,OSBS_contrib5816,0.51323766
56,OSBS_contrib2320,0.50292367
57,OSBS_contrib2328,0.5311766
58,OSBS_contrib5833,0.5006054
3,OSBS_contrib5826,0.9071814
4,OSBS_contrib2312,0.91894317
6,OSBS_contrib2324,0.7647176
7,OSBS_contrib5797,0.67771524
8,OSBS_contrib5820,0.99916625
9,OSBS_contrib5823,0.5150431
10,OSBS_contrib5824,0.48951754
11,OSBS_contrib5827,0.84621227
12,OSBS_contrib5830,0.8285949
17,OSBS_contrib2365,0.5318912
18,OSBS_contrib5902,0.5318912
40,OSBS_contrib5898,0.52036136
50,OSBS_contrib5913,0.6364864
53,OSBS_contrib2352,0.6225964
58,OSBS_contrib5873,0.52915835
60,OSBS_contrib5879,0.63475454
62,OSBS_contrib5910,0.7325591
63,OSBS_contrib7338,0.5227141
0,OSBS_contrib7339,0.5227182
1,OSBS_contrib7340,0.5227141
33,OSBS_contrib5919,0.716531
34,OSBS_contrib5920,0.63621044
35,OSBS_contrib5933,0.8059708
44,OSBS_contrib2426,0.501034
58,OSBS_contrib2413,0.490381
60,OSBS_contrib2395,0.5251843
7,OSBS_contrib5978,0.52021635
11,OSBS_contrib5962,0.75148636
15,OSBS_contrib2417,0.6312514
